CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 0.394531 1584627165.7756
MEM 15.328125 1584627165.8850
MEM 23.222656 1584627165.9956
MEM 29.757812 1584627166.1050
MEM 37.363281 1584627166.2154
MEM 39.203125 1584627166.3247
MEM 39.343750 1584627166.4341
MEM 39.738281 1584627166.5434
MEM 40.351562 1584627166.6528
MEM 41.867188 1584627166.7621
MEM 42.765625 1584627166.8715
MEM 43.335938 1584627166.9808
MEM 44.695312 1584627167.0902
MEM 46.292969 1584627167.1995
MEM 46.593750 1584627167.3089
MEM 48.269531 1584627167.4182
MEM 49.117188 1584627167.5276
MEM 49.140625 1584627167.6369
MEM 49.539062 1584627167.7463
MEM 50.339844 1584627167.8556
MEM 50.527344 1584627167.9650
MEM 50.636719 1584627168.0743
MEM 50.656250 1584627168.1836
MEM 50.761719 1584627168.2930
MEM 50.761719 1584627168.4023
MEM 50.847656 1584627168.5117
MEM 50.929688 1584627168.6210
MEM 50.980469 1584627168.7304
MEM 50.980469 1584627168.8397
MEM 51.003906 1584627168.9491
MEM 51.031250 1584627169.0584
MEM 53.816406 1584627169.1678
MEM 56.808594 1584627169.2771
MEM 62.777344 1584627169.3865
MEM 66.187500 1584627169.4958
MEM 68.519531 1584627169.6052
MEM 72.210938 1584627169.7145
MEM 73.445312 1584627169.8239
MEM 78.500000 1584627169.9332
MEM 82.101562 1584627170.0426
MEM 86.039062 1584627170.1519
MEM 90.214844 1584627170.2613
MEM 95.082031 1584627170.3706
MEM 97.000000 1584627170.4800
MEM 98.085938 1584627170.5893
MEM 99.089844 1584627170.6987
MEM 100.535156 1584627170.8080
MEM 102.128906 1584627170.9174
MEM 103.468750 1584627171.0280
MEM 103.769531 1584627171.1374
MEM 104.273438 1584627171.2479
MEM 106.503906 1584627171.3572
MEM 107.550781 1584627171.4666
MEM 107.593750 1584627171.5759
MEM 108.304688 1584627171.6853
MEM 109.425781 1584627171.7946
MEM 109.699219 1584627171.9040
MEM 111.308594 1584627172.0158
MEM 114.714844 1584627172.1251
MEM 116.847656 1584627172.2355
MEM 117.527344 1584627172.3449
MEM 119.015625 1584627172.4593
