CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 0.417969 1584629461.5658
MEM 15.242188 1584629461.6751
MEM 23.394531 1584629461.7845
MEM 29.750000 1584629461.8951
MEM 37.332031 1584629462.0045
MEM 43.007812 1584629462.1149
MEM 75.523438 1584629462.2242
MEM 100.929688 1584629462.3336
MEM 104.984375 1584629462.4429
MEM 117.828125 1584629462.5523
MEM 125.691406 1584629462.6536
MEM 138.273438 1584629462.7629
MEM 147.375000 1584629462.8733
MEM 154.464844 1584629462.9827
MEM 160.906250 1584629463.0920
MEM 163.343750 1584629463.2014
MEM 164.003906 1584629463.3121
MEM 209.144531 1584629463.4215
MEM 303.992188 1584629463.5319
MEM 394.144531 1584629463.6412
MEM 485.972656 1584629463.7506
MEM 580.550781 1584629463.8599
MEM 674.144531 1584629463.9693
MEM 769.144531 1584629464.0786
MEM 697.964844 1584629464.1880
MEM 929.320312 1584629464.2973
MEM 1164.593750 1584629464.4080
MEM 1395.976562 1584629464.5174
MEM 1633.046875 1584629464.6290
MEM 1003.632812 1584629464.7383
MEM 733.511719 1584629464.8487
MEM 793.316406 1584629464.9581
MEM 853.066406 1584629465.0674
MEM 912.507812 1584629465.1768
MEM 971.390625 1584629465.2861
MEM 1030.699219 1584629465.3955
MEM 1090.011719 1584629465.5048
MEM 1149.253906 1584629465.6142
MEM 1209.191406 1584629465.7235
MEM 691.664062 1584629465.8329
MEM 694.082031 1584629465.9442
MEM 698.656250 1584629466.0535
MEM 700.957031 1584629466.1639
MEM 705.695312 1584629466.2733
MEM 708.062500 1584629466.3826
MEM 712.835938 1584629466.4920
MEM 717.457031 1584629466.6013
MEM 722.152344 1584629466.7107
MEM 726.175781 1584629466.8200
MEM 729.191406 1584629466.9294
MEM 733.812500 1584629467.0387
MEM 736.230469 1584629467.1481
MEM 741.007812 1584629467.2574
MEM 745.546875 1584629467.3682
MEM 747.988281 1584629467.4776
MEM 751.078125 1584629467.5880
MEM 755.082031 1584629467.6989
MEM 757.335938 1584629467.8094
MEM 759.625000 1584629467.9187
MEM 762.101562 1584629468.0281
MEM 766.828125 1584629468.1374
MEM 769.070312 1584629468.2468
MEM 770.894531 1584629468.3561
MEM 771.515625 1584629468.4655
MEM 776.625000 1584629468.5748
MEM 778.433594 1584629468.6854
MEM 778.972656 1584629468.7948
MEM 784.843750 1584629468.9052
MEM 785.628906 1584629469.0146
MEM 786.656250 1584629469.1239
MEM 787.285156 1584629469.2333
MEM 787.929688 1584629469.3426
MEM 788.589844 1584629469.4520
MEM 789.523438 1584629469.5629
MEM 790.167969 1584629469.6733
MEM 790.703125 1584629469.7826
MEM 791.441406 1584629469.8920
MEM 792.070312 1584629470.0013
MEM 792.652344 1584629470.1119
MEM 793.300781 1584629470.2212
MEM 794.230469 1584629470.3317
MEM 794.875000 1584629470.4411
