CMDLINE D:\Programs\Anaconda\Bin\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 0.363281 1584624461.9259
MEM 11.828125 1584624462.0267
MEM 18.097656 1584624462.1274
MEM 23.082031 1584624462.2278
MEM 27.511719 1584624462.3280
MEM 31.542969 1584624462.4288
MEM 36.777344 1584624462.5295
MEM 39.074219 1584624462.6303
MEM 44.671875 1584624462.7311
MEM 50.542969 1584624462.8314
MEM 62.402344 1584624462.9315
MEM 83.390625 1584624463.0315
MEM 95.164062 1584624463.1317
MEM 100.863281 1584624463.2319
MEM 103.035156 1584624463.3327
MEM 104.929688 1584624463.4333
MEM 108.640625 1584624463.5338
MEM 116.460938 1584624463.6339
MEM 122.156250 1584624463.7349
MEM 126.937500 1584624463.8356
MEM 130.765625 1584624463.9361
MEM 139.335938 1584624464.0370
MEM 142.144531 1584624464.1379
MEM 146.863281 1584624464.2386
MEM 150.832031 1584624464.3393
MEM 153.406250 1584624464.4399
MEM 156.421875 1584624464.5408
MEM 160.437500 1584624464.6412
MEM 162.507812 1584624464.7415
MEM 162.742188 1584624464.8422
MEM 163.230469 1584624464.9425
MEM 164.132812 1584624465.0433
MEM 278.347656 1584624465.1438
MEM 391.574219 1584624465.2446
MEM 505.167969 1584624465.3453
MEM 618.347656 1584624465.4460
MEM 731.546875 1584624465.5470
MEM 690.761719 1584624465.6474
MEM 865.363281 1584624465.7481
MEM 1096.875000 1584624465.8488
MEM 1318.640625 1584624465.9496
MEM 1541.976562 1584624466.0503
MEM 1712.796875 1584624466.1510
MEM 694.644531 1584624466.2517
MEM 739.386719 1584624466.3525
MEM 781.058594 1584624466.4532
MEM 817.101562 1584624466.5539
MEM 856.820312 1584624466.6547
MEM 893.718750 1584624466.7554
MEM 930.863281 1584624466.8561
MEM 968.207031 1584624466.9569
MEM 1004.910156 1584624467.0576
MEM 1042.335938 1584624467.1583
MEM 1083.023438 1584624467.2591
MEM 1122.500000 1584624467.3598
MEM 1164.777344 1584624467.4605
MEM 1206.457031 1584624467.5612
MEM 690.996094 1584624467.6615
MEM 705.019531 1584624467.7627
MEM 719.507812 1584624467.8636
MEM 735.503906 1584624467.9639
MEM 751.218750 1584624468.0639
MEM 765.996094 1584624468.1649
MEM 777.769531 1584624468.2650
MEM 786.992188 1584624468.3658
MEM 797.132812 1584624468.4658
MEM 811.179688 1584624468.5664
MEM 829.652344 1584624468.6673
MEM 848.843750 1584624468.7680
MEM 867.929688 1584624468.8687
MEM 885.359375 1584624468.9695
MEM 902.527344 1584624469.0702
MEM 919.320312 1584624469.1710
MEM 936.433594 1584624469.2717
MEM 954.464844 1584624469.3724
MEM 954.464844 1584624469.4732
MEM 954.464844 1584624469.5739
MEM 954.464844 1584624469.6746
MEM 954.464844 1584624469.7753
MEM 954.464844 1584624469.8761
MEM 954.464844 1584624469.9768
MEM 954.464844 1584624470.0775
MEM 1022.699219 1584624470.1783
MEM 861.625000 1584624470.2790
MEM 1020.394531 1584624470.3797
MEM 1020.394531 1584624470.4805
MEM 1020.394531 1584624470.5812
MEM 1020.394531 1584624470.6819
MEM 1020.394531 1584624470.7827
MEM 1020.394531 1584624470.8834
MEM 1020.394531 1584624470.9841
MEM 1020.394531 1584624471.0848
MEM 1020.394531 1584624471.1856
MEM 1020.394531 1584624471.2863
MEM 1020.394531 1584624471.3870
MEM 1020.394531 1584624471.4878
MEM 1020.394531 1584624471.5885
MEM 1020.394531 1584624471.6892
MEM 982.640625 1584624471.7899
MEM 1020.394531 1584624471.8907
MEM 1020.394531 1584624471.9914
MEM 1020.394531 1584624472.0921
MEM 1020.394531 1584624472.1929
MEM 1020.394531 1584624472.2936
MEM 1020.394531 1584624472.3943
MEM 977.339844 1584624472.4950
MEM 1020.394531 1584624472.5958
MEM 1020.394531 1584624472.6965
MEM 1020.394531 1584624472.7972
MEM 1020.394531 1584624472.8980
MEM 1020.394531 1584624472.9987
MEM 1020.394531 1584624473.0994
MEM 1020.394531 1584624473.2002
